id,severity_reported,severity_normalized,theme,area,files,title,evidence,fix,loc_delta_estimate,sources,in_flight,territory,verify
R-001,Blocker,Blocker,secrets,jasper/ (platform),jasper/secret_redaction.py:24-30,Secret redactor misses every JASPER_*_PSK / _API_KEY shape,Executed: redact_secrets('JASPER_WIFI_PSK=hunter2') returns it unchanged - the \b before psk cannot match after an underscore; zero test references repo-wide,Anchor _KEY_VALUE_RE on a name suffix like scripts/_diagnostic_redaction.sh:18 does; add a parametrized behavior pin over the real env-key names,+40,"T18-F1,T26-2-C2,p0-tests-11.1",,steward-general,Y
R-002,Blocker,Blocker,deploy-integrity,scripts/,"scripts/deploy-to-pi.sh:590-602,674-689",SKIP_INSTALL=1 silently bypasses the identity and deploy-direction guards,"resolve_speaker_hostname..preflight_deploy_direction all sit inside `if [[ ""${SKIP_INSTALL:-}"" != ""1"" ]]`; the `rsync -az --delete` at :685 runs unconditionally; no notice printed, no test names SKIP_INSTALL",Run identity + direction guards and hostname resolution unconditionally before rsync; gate only the install.sh invocation on SKIP_INSTALL,+15,"T23-C1,T26-1-C1,T26-2-C1",,steward-general,Y
R-003,Blocker,Blocker,observability,jasper/control/,jasper/control/handlers/system.py:499-514; jasper/control/server.py:133; deploy/polkit/49-jasper-control.rules,A polkit-denied unit action returns HTTP 200 and reports success,"LOCAL_SOURCE_AUDIO_REFRESH_UNITS contains jasper-usbsink-volume.service which is in neither restart_broker.MANAGED_UNITS nor the polkit rules; POST /system/restart/audio answers {""ok"": true} after the denial; only spawn OSError is observable",Route every unit mutation through restart_broker.manage_units/reset_then_manage; add a test that local_source_*_units() is a subset of POLKIT_MANAGE_UNITS,-40,T08-C1,,doctor-state-resilience,Y
R-004,Blocker,Blocker,deploy-integrity,deploy/systemd/,deploy/jasper-web-streambox.service:11-44 vs deploy/jasper-web.service:126-173,"Streambox runs the LAN wizard surface as root, barely hardened","Same `python -m jasper.web`, same /var/lib/jasper-secrets EnvironmentFile set, but no User=, no CapabilityBoundingSet=, no SystemCallFilter=, ProtectSystem=full not strict; test_systemd_hardening.py pins env-file parity and exempts hardening",Delete jasper-web-streambox.service; keep one jasper-web.service and let the socket be the only profile-varying file,-48,T24-C1,,steward-general,Y
R-005,Blocker,Blocker,resilience,jasper/wake_corpus/,jasper/wake_corpus/recording_backend.py:1404-1628,Clip-stop retry apparatus rearms forever with no attempt cap,"_schedule_stop_retry caps only the backoff (STOP_RETRY_MAX_SEC=1.0); _stop_retry_attempts feeds the exponent and never a give-up, so a permanently failing _stop_with_recovery rearms at 1 Hz on a threading.Timer",Replace the 250-LOC generation/Timer apparatus with one bounded blocking acquire plus a capped attempt count and an audible/logged give-up,-250,T02-Blocker,#4030 (wake_corpus split),hardware-input,Y
R-006,Blocker,Blocker,resilience,rust/jasper-fanin/,"rust/jasper-fanin/src/mixer.rs:1143,1784,1962,2550,2606; mixer/ring_capture.rs:703,796",info!/warn! and a String allocation on the SCHED_FIFO audio thread,"jasper-fanin.service:100,108 sets CPUSchedulingPolicy=fifo + LimitRTTIME=200000 with no StandardOutput=, so stderr is a journald socket written synchronously under a mutex; format_ring_stall_event allocates a String there",Route mixer-thread events through a bounded sync_channel to a log-writer thread - the pattern the crate already uses for xrun and tap,+40,T19-1-F1,,hardware-input,Y
R-007,Blocker,Blocker,tuning-zone-structure,jasper/active_speaker/,jasper/active_speaker/commissioning_apply.py:888-905,v1 commissioning apply's terminal readback cannot pass on real hardware,"In-file comment: 'these cannot agree on real hardware, and commissioning apply is blocked here before reaching the live-graph boundary this check gates' (issue #2202); ADR-0228 row 9's repair ruling records both its premises as no longer holding at HEAD","Owner re-ruling required: repair or delete the v1 lane (21,667 LOC). Until then nothing new should be built on it",,"T14-4-C1,T14-4-C2",ADR-0228 row 9 / PR #3836 awaiting re-ruling,tuning,Y
R-008,Should-fix,Blocker,resilience,jasper/voice/,"jasper/voice/output_gate.py:85-102; jasper/voice_daemon.py:2612,5073","Wake in the acquire window during MEASURE_PAUSE: deaf 120 s, no cue","_measurement_pause_detailed refuses only when _state is SESSION; during _arbitrate_acquire_drain the state is WAKE with _acquiring=True, so begin_turn() awaits resumed.wait() unbounded while the main loop buffers frames instead of running wake detection","Give begin_turn() a bounded wait on the MEASUREMENT_PAUSE_TOTAL_TIMEOUT_SEC budget returning None, and treat None as a refusal that plays internal_error",+25,T01-F3,,steward-general,Y
R-009,Should-fix,Blocker,resilience,jasper/voice/,jasper/voice_daemon.py:3468-3478,"Wake dropped after a research-confirmation cancel timeout, WARN only, no cue",`except asyncio.TimeoutError: logger.warning(...); return` - 20 s after the user said the wake word and heard nothing; non-negotiable 6,Play INTERNAL_ERROR_CUE_SLUG before the return and emit event= instead of prose,+4,T01-F11,,steward-general,N
R-010,Should-fix,Blocker,observability,jasper/web/ + jasper/wake_corpus/,"jasper/web/wake_corpus_setup.py:849; jasper/wake_corpus/recording_backend.py:505,924",Corpus test mode stops jasper-voice and nothing outside the page knows,"_post_corpus_test_mode calls enter_corpus_test_mode() (stops jasper-voice); the file has 1 log_event total and no event marks the transition; TEST_MODE_MARKER appears nowhere in cli/ or control/; the self-heal runs only from backend.start(), i.e. the next HTTP request to /wake-corpus/",Emit wake_corpus.test_mode on both edges and add a doctor check on TEST_MODE_MARKER age,+30,T16-1-C11,#4031,web-ui,Y
